25-02-25 21:17:12.869 [RMI TCP Connection(45)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
25-02-25 21:17:17.025 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.4+7-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='arpangautam27', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2fd9fb34, com.mongodb.Jep395RecordCodecProvider@1595d2b2, com.mongodb.KotlinCodecProvider@20349058]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.4tqyz.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-30cluy-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null} 
25-02-25 21:17:17.049 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-srv-cluster0.4tqyz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.4tqyz.mongodb.net:27017 to client view of cluster 
25-02-25 21:17:17.065 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-srv-cluster0.4tqyz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.4tqyz.mongodb.net:27017 to client view of cluster 
25-02-25 21:17:17.067 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-srv-cluster0.4tqyz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.4tqyz.mongodb.net:27017 to client view of cluster 
25-02-25 21:17:17.202 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-00.4tqyz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.4tqyz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.4tqyz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
25-02-25 21:17:17.586 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-cluster0-shard-00-00.4tqyz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.4tqyz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=308027800, setName='atlas-30cluy-shard-0', canonicalAddress=cluster0-shard-00-00.4tqyz.mongodb.net:27017, hosts=[cluster0-shard-00-00.4tqyz.mongodb.net:27017, cluster0-shard-00-01.4tqyz.mongodb.net:27017, cluster0-shard-00-02.4tqyz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.4tqyz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67bcd09fb9c40f1866d4d573, counter=4}, lastWriteDate=Tue Feb 25 21:17:12 IST 2025, lastUpdateTimeNanos=184276729096900} 
25-02-25 21:17:17.586 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-cluster0-shard-00-01.4tqyz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.4tqyz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=194428200, setName='atlas-30cluy-shard-0', canonicalAddress=cluster0-shard-00-01.4tqyz.mongodb.net:27017, hosts=[cluster0-shard-00-00.4tqyz.mongodb.net:27017, cluster0-shard-00-01.4tqyz.mongodb.net:27017, cluster0-shard-00-02.4tqyz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.4tqyz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=67bcd1061835a18ce472e337, counter=3}, lastWriteDate=Tue Feb 25 21:17:12 IST 2025, lastUpdateTimeNanos=184276729097000} 
25-02-25 21:17:17.586 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-cluster0-shard-00-02.4tqyz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.4tqyz.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=288077500, setName='atlas-30cluy-shard-0', canonicalAddress=cluster0-shard-00-02.4tqyz.mongodb.net:27017, hosts=[cluster0-shard-00-00.4tqyz.mongodb.net:27017, cluster0-shard-00-01.4tqyz.mongodb.net:27017, cluster0-shard-00-02.4tqyz.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.4tqyz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000005, setVersion=1, topologyVersion=TopologyVersion{processId=67bcd0d289ab509591d8d883, counter=6}, lastWriteDate=Tue Feb 25 21:17:12 IST 2025, lastUpdateTimeNanos=184276729096900} 
25-02-25 21:17:17.588 [cluster-ClusterId{value='67bde604c819c74f746f3dc6', description='Cluster0'}-cluster0-shard-00-02.4tqyz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.4tqyz.mongodb.net:27017 with max election id 7fffffff0000000000000005 and max set version 1 
25-02-25 21:17:18.509 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl 
25-02-25 21:17:18.756 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"] 
25-02-25 21:17:18.764 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/' 
25-02-25 21:17:18.769 [main] INFO  c.a.journalApp.JournalAppApplication - Started JournalAppApplication in 2.874 seconds (process running for 3.438) 
25-02-25 21:17:33.844 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
25-02-25 21:17:33.845 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
25-02-25 21:17:33.846 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
25-02-25 21:17:44.952 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
25-02-25 21:17:44.955 [RMI TCP Connection(2)-127.0.0.1] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"] 
